[2025-03-21T23:35:18.024Z] info: 	[Запрос Клиента] /client/profile/status
[2025-03-21T23:35:18.024Z] info: 	[Запрос Клиента] /client/trading/customization/storage
[2025-03-21T23:35:18.042Z] info: 	[WS] Игрок: Homa_690 (67dd9f490003edb807c3a899) присоединился
[2025-03-21T23:35:18.042Z] info: 	WebSocketHandler "SPT WebSocket Handler" connected
[2025-03-21T23:35:18.060Z] info: 	[Запрос Клиента] /client/server/list
[2025-03-21T23:35:18.061Z] info: 	[Запрос Клиента] /client/match/group/current
[2025-03-21T23:35:18.062Z] info: 	[Запрос Клиента] /client/friend/list
[2025-03-21T23:35:18.064Z] info: 	[Запрос Клиента] /client/friend/request/list/inbox
[2025-03-21T23:35:18.065Z] info: 	[Запрос Клиента] /client/mail/dialog/list
[2025-03-21T23:35:18.065Z] info: 	[Запрос Клиента] /client/friend/request/list/outbox
[2025-03-21T23:35:18.066Z] info: 	[Запрос Клиента] /client/quest/list
[2025-03-21T23:35:18.175Z] info: 	[Запрос Клиента] /client/achievement/statistic
[2025-03-21T23:35:18.219Z] info: 	[Запрос Клиента] /client/achievement/list
[2025-03-21T23:35:18.411Z] info: 	[Запрос Клиента] /client/repeatalbeQuests/activityPeriods
[2025-03-21T23:35:18.412Z] debug: 	Daily scav quests still locked, Intel center not built
[2025-03-21T23:35:18.465Z] info: 	[Запрос Клиента] /client/survey
[2025-03-21T23:35:18.922Z] info: 	[Запрос Клиента] /fika/presence/get
[2025-03-21T23:35:23.580Z] info: 	[Запрос Клиента] /client/checkVersion
[2025-03-21T23:35:24.704Z] debug: 	Saved 2 profiles, took: 6.98ms
[2025-03-21T23:35:37.396Z] info: 	[Запрос Клиента] /singleplayer/settings/raid/menu
[2025-03-21T23:35:39.076Z] info: 	[Запрос Клиента] /files/trader/avatar/59b91ca086f77469a81232e4.jpg
[2025-03-21T23:35:39.108Z] info: 	[Запрос Клиента] /client/insurance/items/list/cost
[2025-03-21T23:35:44.746Z] debug: 	Saved 2 profiles, took: 5.35ms
[2025-03-21T23:35:48.148Z] info: 	[Запрос Клиента] /singleplayer/settings/raid/menu
[2025-03-21T23:35:49.914Z] info: 	[Запрос Клиента] /fika/presence/set
[2025-03-21T23:35:49.925Z] info: 	[Запрос Клиента] /fika/presence/get
[2025-03-21T23:35:54.061Z] info: 	[Запрос Клиента] /launcher/profile/info
[2025-03-21T23:35:54.063Z] info: 	[Запрос Клиента] /launcher/server/version
[2025-03-21T23:35:54.063Z] info: 	[Запрос Клиента] /files/launcher/side_bear.png
[2025-03-21T23:36:04.757Z] debug: 	Saved 2 profiles, took: 5.57ms
[2025-03-21T23:36:24.789Z] debug: 	Saved 2 profiles, took: 5.65ms
[2025-03-21T23:36:44.820Z] debug: 	Saved 2 profiles, took: 5.84ms
[2025-03-21T23:36:48.047Z] debug: 	[WS] Пингуем игрока: 67dd9f490003edb807c3a899
[2025-03-21T23:36:48.174Z] info: 	[Запрос Клиента] /client/game/profile/items/moving
[2025-03-21T23:36:48.175Z] debug: 	event: Move
[2025-03-21T23:36:48.175Z] debug: 	Move item: 67ddf7b0c9500b1c1c031ebf from slotid: hideout to container: main
[2025-03-21T23:36:48.175Z] debug: 	event: Move
[2025-03-21T23:36:48.176Z] debug: 	Move item: 67ddf7b0c9500b1c1c031eea from slotid: hideout to container: main
[2025-03-21T23:36:48.176Z] debug: 	event: Split
[2025-03-21T23:36:48.176Z] debug: 	event: Move
[2025-03-21T23:36:48.176Z] debug: 	Move item: 67ddf7b0c9500b1c1c031e35 from slotid: Headwear to container: hideout
[2025-03-21T23:36:48.176Z] debug: 	event: Move
[2025-03-21T23:36:48.176Z] debug: 	Move item: 67ddf7b0c9500b1c1c031ed2 from slotid: hideout to container: Headwear
[2025-03-21T23:36:48.176Z] debug: 	event: Move
[2025-03-21T23:36:48.176Z] debug: 	Move item: 67ddf7b0c9500b1c1c031ece from slotid: hideout to container: Eyewear
[2025-03-21T23:36:48.176Z] debug: 	event: Move
[2025-03-21T23:36:48.176Z] debug: 	Move item: 67ddf7b0c9500b1c1c031ecf from slotid: hideout to container: FaceCover
[2025-03-21T23:36:48.176Z] debug: 	event: Move
[2025-03-21T23:36:48.177Z] debug: 	Move item: 67ddf7b0c9500b1c1c031e3d from slotid: 4 to container: main
[2025-03-21T23:36:49.176Z] info: 	[Запрос Клиента] /fika/presence/set
[2025-03-21T23:36:49.187Z] info: 	[Запрос Клиента] /fika/presence/get
[2025-03-21T23:36:54.062Z] info: 	[Запрос Клиента] /launcher/profile/info
[2025-03-21T23:36:54.063Z] info: 	[Запрос Клиента] /launcher/server/version
[2025-03-21T23:36:54.524Z] info: 	[Запрос Клиента] /singleplayer/settings/raid/menu
[2025-03-21T23:36:55.566Z] info: 	[Запрос Клиента] /client/insurance/items/list/cost
[2025-03-21T23:36:57.856Z] info: 	[Запрос Клиента] /fika/raid/dedicated/getstatus
[2025-03-21T23:36:57.867Z] info: 	[Запрос Клиента] /fika/location/raids
[2025-03-21T23:36:57.881Z] info: 	[Запрос Клиента] /client/match/group/invite/cancel-all
[2025-03-21T23:36:57.882Z] info: 	[Запрос Клиента] /client/raid/configuration
[2025-03-21T23:36:57.911Z] info: 	[Запрос Клиента] /client/match/group/invite/cancel-all
[2025-03-21T23:37:02.822Z] info: 	[Запрос Клиента] /fika/location/raids
[2025-03-21T23:37:02.867Z] info: 	[Запрос Клиента] /fika/raid/create
[2025-03-21T23:37:02.909Z] debug: 	Added 214 guaranteed containers
